cohort,feat,auc,p,n1,n0,half_a,half_b,med_pos,med_neg,sep
t25,zz20_vs_lasthigh_t,0.5461279461279461,0.378,55,81,0.519893899204244,0.5631868131868132,-48.63273237204703,-58.297185723859,0.04612794612794613
t25,ret_rthopen_r,0.45768799102132435,0.42,55,81,0.4270557029177719,0.49542124542124544,1.251217907620982,1.5995248139787388,0.04231200897867565
t25,leg_dur_min,0.4599326599326599,0.403,55,81,0.5875331564986738,0.3191391941391941,1.0,1.0,0.040067340067340085
t25,zz40_trend,0.4612794612794613,0.408,55,81,0.3682581786030062,0.5586080586080586,1.0,1.0,0.03872053872053871
t25,zz40_hh,0.5361391694725028,0.438,55,81,0.4473916887709991,0.6254578754578755,1.0,1.0,0.03613916947250284
t25,mom_30m_r,0.4644219977553311,0.492,55,81,0.4305923961096375,0.49725274725274726,0.6868631177049247,0.9252565204485048,0.035578002244668894
t25,zz20_nswings,0.5295173961840629,0.584,55,81,0.5305039787798409,0.5357142857142857,777.0,760.0,0.029517396184062905
t25,t25_zz20_nswings,0.528956228956229,0.582,55,81,0.5282935455349248,0.5366300366300366,777.0,760.0,0.028956228956228958
t25,t25_mom_5m_r,0.4711560044893378,0.547,55,81,0.376657824933687,0.5888278388278388,0.24666666666666667,0.2866666666666667,0.02884399551066219
t25,mom_15m_r,0.4713804713804714,0.57,55,81,0.4261715296198055,0.5073260073260073,0.6796757960352503,0.8867245417656765,0.0286195286195286
t25,mom_1m_r,0.528395061728395,0.56,55,81,0.497789566755084,0.5787545787545788,-0.11682077387367219,-0.18771682761561048,0.02839506172839501
t25,pos_in_gxrange,0.5236812570145903,0.642,55,81,0.5499557913351016,0.49175824175824173,0.9076752660828248,0.9089279846377977,0.02368125701459034
t25,gx_ret_r,0.4772166105499439,0.646,55,81,0.5265251989389921,0.4368131868131868,1.06,1.06,0.02278338945005609
t25,t25_lows_broken_uw,0.4775533108866442,0.626,55,81,0.46640141467727675,0.4958791208791209,0.0,0.0,0.02244668911335579
t25,zz20_hh,0.4783389450056117,0.706,55,81,0.40008841732979666,0.5558608058608059,1.0,1.0,0.021661054994388307
t25,above_gxhigh,0.5209876543209877,0.726,55,81,0.5234305923961097,0.510989010989011,0.0,0.0,0.020987654320987703
t25,t25_zz20_hh,0.47901234567901235,0.698,55,81,0.3824049513704686,0.5796703296703297,1.0,1.0,0.020987654320987648
t25,zz20_trend,0.4792368125701459,0.662,55,81,0.4274977895667551,0.5357142857142857,1.0,1.0,0.020763187429854113
t25,bar_lowwick,0.5204264870931538,0.677,55,81,0.40893015030946067,0.6465201465201466,0.19130434782608696,0.18072289156626506,0.020426487093153756
t25,zz40_uppurity,0.4847362514029181,0.757,55,81,0.4230769230769231,0.5457875457875457,0.75,0.75,0.015263748597081905
t25,t25_zz20_lows_above,0.48496071829405163,0.745,55,81,0.5296198054818745,0.44047619047619047,1.0,1.0,0.01503928170594837
t25,t25_uw_pushes,0.5149270482603816,0.653,55,81,0.5216622458001768,0.5073260073260073,0.0,0.0,0.014927048260381603
t25,min_since_hi,0.4867564534231201,0.795,55,81,0.4363395225464191,0.5279304029304029,66.0,58.0,0.013243546576879928
t25,t25_zz20_uppurity,0.4879910213243547,0.819,55,81,0.41644562334217505,0.5508241758241759,0.5,0.75,0.012008978675645321
t25,leg_eff,0.48903061224489797,0.828,35,56,0.4880952380952381,0.47714285714285715,-1.0,-0.32650424510889625,0.010969387755102034
t25,zz40_nswings,0.5108866442199775,0.84,55,81,0.4885057471264368,0.5288461538461539,335.0,333.0,0.010886644219977537
t25,zz20_lows_above,0.4909090909090909,0.84,55,81,0.5747126436781609,0.39789377289377287,0.0,0.0,0.009090909090909094
t25,zz40_vs_lastlow_t,0.5059483726150393,0.918,55,81,0.4438549955791335,0.576007326007326,98.13437536785204,77.21168986031262,0.005948372615039332
t25,t25_lowcad_s,0.4947250280583614,0.867,55,81,0.4509283819628647,0.538003663003663,0.0,0.0,0.005274971941638618
t25,zz40_lows_above,0.4952861952861953,0.911,55,81,0.5632183908045977,0.4258241758241758,0.0,0.0,0.004713804713804726
t25,zz20_vs_lastlow_t,0.501010101010101,0.986,55,81,0.4394341290893015,0.5796703296703297,96.36726762795297,70.92591261077905,0.0010101010101010166
t25,t25_below_prelow_t,0.498989898989899,0.989,55,81,0.5623342175066313,0.4198717948717949,-58.0,-33.0,0.0010101010101010166
t25,zz20_hl,0.5004489337822671,1.0,55,81,0.48143236074270557,0.5146520146520146,1.0,1.0,0.00044893378226706915
t25,mom_5m_r,0.5001122334455668,1.0,55,81,0.40141467727674623,0.6318681318681318,0.5872320207610998,0.4848167410871247,0.00011223344556676729
t40,overlap_10,0.639451114922813,0.012,55,53,0.6841491841491841,0.5875420875420876,0.5867100539536281,0.5501402231195537,0.13945111492281304
t40,pushes_30m,0.6379073756432247,0.014,55,53,0.5728438228438228,0.7239057239057239,4.0,3.0,0.13790737564322475
t40,t40_htf5_slope_t,0.3639794168096055,0.017,55,53,0.4813519813519814,0.20454545454545456,14.0,26.333333333333332,0.1360205831903945
t40,htf5_slope_t,0.3758147512864494,0.021,55,53,0.5011655011655012,0.1936026936026936,14.333333333333334,30.166666666666668,0.12418524871355058
t40,mom_30m_r,0.3934819897084048,0.06,55,53,0.44522144522144524,0.30303030303030304,0.6868631177049247,1.2393190449268634,0.10651801029159519
t40,bar_closeloc,0.602401372212693,0.078,55,53,0.5571095571095571,0.6498316498316499,0.6892655367231638,0.46938775510204084,0.10240137221269296
t40,zz40_vs_lasthigh_t,0.5893653516295025,0.116,55,53,0.5174825174825175,0.702020202020202,-59.07456360795186,-76.35070107792853,0.08936535162950254
t40,zz40_hl,0.41320754716981134,0.068,55,53,0.43356643356643354,0.3838383838383838,1.0,1.0,0.08679245283018866
t40,t40_uw_overlap,0.5833333333333334,0.495,12,13,,,0.6616228070175438,0.6648567437197201,0.08333333333333337
t40,t40_mom_1m_r,0.5754716981132075,0.185,55,53,0.5,0.6616161616161617,-0.42,-0.5266666666666666,0.07547169811320753
t40,t40_zz20_nswings,0.574442538593482,0.174,55,53,0.4417249417249417,0.7146464646464646,777.0,735.0,0.07444253859348204
t40,zz20_nswings,0.5740994854202401,0.196,55,53,0.44114219114219116,0.7154882154882155,777.0,734.0,0.07409948542024014
t40,ret_rthopen_r,0.4260720411663808,0.2,55,53,0.4358974358974359,0.3939393939393939,1.251217907620982,1.756518611899034,0.07392795883361919
t40,t40_zz20_vs_lasthigh_t,0.5720411663807891,0.183,55,53,0.5297202797202797,0.6338383838383839,-115.0,-131.0,0.07204116638078906
t40,mom_15m_r,0.43190394511149227,0.234,55,53,0.4557109557109557,0.38215488215488214,0.6796757960352503,1.0471641962482439,0.06809605488850773
t40,zz40_trend,0.4332761578044597,0.141,55,53,0.4592074592074592,0.39814814814814814,1.0,1.0,0.06672384219554028
t40,leg_depth_t,0.43499142367066895,0.237,55,53,0.5174825174825175,0.32323232323232326,48.63273237204703,66.07448669451696,0.06500857632933105
t40,zz20_vs_lasthigh_t,0.565008576329331,0.238,55,53,0.4825174825174825,0.6767676767676768,-48.63273237204703,-66.07448669451696,0.06500857632933099
t40,band_w,0.43567753001715265,0.244,55,53,0.4522144522144522,0.3838383838383838,94.52779161416402,121.25541369356506,0.06432246998284735
t40,t40_zz20_vs_lastlow_t,0.5564322469982848,0.309,55,53,0.4796037296037296,0.6902356902356902,-1.0,-6.0,0.05643224699828475
t40,rng_compress,0.4439108061749571,0.307,55,53,0.47435897435897434,0.4074074074074074,0.6274509803921569,0.7142857142857143,0.056089193825042905
t40,t40_uw_eff,0.5519031141868512,0.503,34,34,0.5317725752508361,0.5844155844155844,0.988248197661548,0.7559738182459579,0.05190311418685123
t40,zz40_nswings,0.5485420240137221,0.374,55,53,0.42424242424242425,0.6835016835016835,335.0,306.0,0.048542024013722096
t40,zz40_uppurity,0.4528301886792453,0.386,55,53,0.5297202797202797,0.36447811447811446,0.75,0.75,0.047169811320754707
t40,mom_1m_r,0.5461406518010291,0.424,55,53,0.4382284382284382,0.6767676767676768,-0.11682077387367219,-0.18850010010889187,0.04614065180102911
t40,zz20_trend,0.4576329331046312,0.391,55,53,0.5,0.4048821548821549,1.0,1.0,0.04236706689536879
t40,zz20_hh,0.4590051457975986,0.411,55,53,0.41025641025641024,0.5075757575757576,1.0,1.0,0.0409948542024014
t40,t40_mom_5m_r,0.4626072041166381,0.501,55,53,0.4020979020979021,0.5563973063973064,-0.02,0.15333333333333332,0.03739279588336192
t40,t40_zz20_trend,0.4631217838765009,0.509,55,53,0.4370629370629371,0.4890572390572391,0.0,1.0,0.03687821612349912
t40,t40_zz20_uppurity,0.4679245283018868,0.554,55,53,0.48484848484848486,0.4393939393939394,0.5,0.5,0.0320754716981132
t40,min_since_hi,0.5305317324185249,0.6,55,53,0.38752913752913754,0.6683501683501684,66.0,22.0,0.030531732418524915
t40,t40_zz20_lows_above,0.47015437392795884,0.562,55,53,0.5617715617715617,0.35942760942760943,1.0,1.0,0.029845626072041165
t40,t40_zz20_hl,0.47084048027444253,0.566,55,53,0.4801864801864802,0.4537037037037037,1.0,1.0,0.02915951972555747
t40,bar_lowwick,0.5284734133790737,0.591,55,53,0.479020979020979,0.5858585858585859,0.19130434782608696,0.16176470588235295,0.02847341337907372
t40,zz40_lows_above,0.47375643224699826,0.577,55,53,0.47785547785547783,0.4797979797979798,0.0,0.0,0.02624356775300174
t40,t40_uw_pushes,0.5257289879931389,0.493,55,53,0.5757575757575758,0.4663299663299663,0.0,0.0,0.02572898799313894
t40,t40_lows_broken_uw,0.4771869639794168,0.634,55,53,0.5652680652680653,0.36363636363636365,1.0,0.0,0.02281303602058321
