cohort,feat,auc,p,n1,n0,half_a,half_b,med_pos,med_neg,sep
entry_winloss,overlap_10,0.386955205811138,0.0,280,118,0.34241632449919124,0.4219837244958132,0.5653476888343351,0.6044063026764828,0.11304479418886199
entry_winloss,zz40_trend,0.5567645278450363,0.041,280,118,0.5161751897474182,0.5969453945040689,1.0,0.0,0.05676452784503627
entry_winloss,pushes_30m,0.44447639225181595,0.074,280,118,0.5097673261167102,0.37421865786059677,3.0,3.0,0.055523607748184045
entry_winloss,rng_compress,0.5428117433414044,0.205,280,118,0.5793828542988677,0.5097299209812478,0.6486814287303884,0.5781059535495842,0.04281174334140436
entry_winloss,zz40_nswings,0.45876210653753025,0.17,280,118,0.4223590892123927,0.4888548177851162,334.5,350.5,0.041237893462469755
entry_winloss,zz40_hh,0.5388922518159807,0.166,280,118,0.5263157894736842,0.55183394268192,1.0,1.0,0.03889225181598066
entry_winloss,bar_closeloc,0.4623638014527845,0.222,280,118,0.4922234664675874,0.43189055313126545,0.46725201708590414,0.5526582792207793,0.037636198547215505
entry_winloss,mom_1m_r,0.4624394673123487,0.25,280,118,0.4899838248102526,0.4415615048944451,-0.24891920037465753,-0.21663372331847008,0.037560532687651305
entry_winloss,zz20_nswings,0.4628783292978208,0.24,280,118,0.42932686325743435,0.49021110980068405,763.5,786.0,0.0371216707021792
entry_winloss,zz40_hl,0.5324152542372881,0.254,280,118,0.4839492347891004,0.5800212289185045,1.0,1.0,0.03241525423728808
entry_winloss,zz20_trend,0.5315375302663439,0.286,280,118,0.46354361080004974,0.5975940559028188,1.0,0.0,0.03153753026634387
entry_winloss,zz20_hl,0.5310532687651331,0.271,280,118,0.48376259798432253,0.5768368911428234,1.0,1.0,0.031053268765133146
entry_winloss,zz40_uppurity,0.5259231234866828,0.381,280,118,0.4899216125419933,0.5610331407005543,0.75,0.75,0.025923123486682798
entry_winloss,leg_dur_min,0.4801452784503632,0.485,280,118,0.47915889013313423,0.4780044816605732,1.0,1.0,0.0198547215496368
entry_winloss,mom_15m_r,0.5186138014527845,0.547,280,118,0.49632947617270123,0.5403939143766954,0.6586868938806099,0.5800522932071182,0.018613801452784462
entry_winloss,zz20_hh,0.5179176755447942,0.573,280,118,0.4505412467338559,0.5836183512206629,1.0,1.0,0.017917675544794176
entry_winloss,pos_in_gxrange,0.5156174334140435,0.605,280,118,0.49608062709966405,0.52801037858238,1.0100415381225956,0.9992353283328728,0.015617433414043536
entry_winloss,mom_5m_r,0.5118341404358353,0.705,280,118,0.48898842851810376,0.5331996697723789,0.2254697520965419,0.15243347385927336,0.011834140435835305
entry_winloss,bar_lowwick,0.48852905569007266,0.699,280,118,0.48824188129899215,0.4849038801745489,0.20204081632653062,0.1958114929139973,0.011470944309927344
entry_winloss,zz20_vs_lastlow_t,0.48880145278450365,0.73,280,118,0.5162374020156775,0.46573888430239413,24.8191900901802,45.30159922956955,0.011198547215496346
entry_winloss,zz40_vs_lasthigh_t,0.4889225181598063,0.708,280,118,0.4577578698519348,0.516452411841019,-76.39069183533866,-69.07943095877272,0.011077481840193693
entry_winloss,mom_30m_r,0.5109261501210653,0.722,280,118,0.4925967400771432,0.5268309942210166,1.0594640283595558,0.9840999722124252,0.010926150121065348
entry_winloss,zz20_lows_above,0.5107748184019371,0.7,280,118,0.5006843349508523,0.5214647953768133,0.0,0.0,0.010774818401937059
entry_winloss,zz40_lows_above,0.5104418886198547,0.724,280,118,0.5186636804777902,0.5030663993395448,0.0,0.0,0.010441888619854733
